modern|old_french
voici une lettre personnelle écrite par un enfant de 12 ans : cher journal, aujourd'hui, j'ai remarqué que j'ai une drôle d'habitude : je touche toujours mon oreille gauche avant de fermer les yeux pour aller dormir. je ne sais pas pourquoi je fais ça, mais ça me fait sentir un peu mieux, comme si j'allais avoir de beaux rêves. je vais essayer de continuer à faire ça et voir si ça change quoi que ce soit ! à plus, léo|"certes, voici une version en vieux français du xve siècle : ""cy est une épître personelle escripte par ung enfant de douze ans : chier journal, hui, j'ay advisé que j'ay une estrange coustume : je touche tousjours mon oreille senestre avant que de clorre les yeulx pour aler dormir. je ne sçay pas pourquoy je fais ce, mais cela me fait sentir un petit mieulx, comme se j'alloye avoir de beaulx songes. je vueil essayer de continuer à faire ce et veoir se cela change queque chose ! adieu, léo"""
oh mon dieu, les enfants, vous ne devinerez jamais ce qui m'arrive ! je viens de prendre ma première leçon de peinture, et je suis complètement accro ! je me sens comme si j'avais découvert une partie de moi que j'ignorais, et c'est incroyable ! maintenant, je comprends pourquoi les artistes sont toujours si émus en parlant de leur travail, c'est comme si leur âme tout entière était dans chaque coup de pinceau !|oh mon dieu, mes enfans, vous ne devineriez oncques ce qui m'advient ! je viens de prendre ma première leçon de painture, et je suis tout énamouré ! je me sens comme si j'avais trouvé une partie de moy que je ne congnoissois mie, et c'est merveillable ! or, je comprens pourquoy les artistes sont tousjours si émus en parlant de leur ovraige, c'est comme se leur âme toute entière estoit en chascun trait de pinceau !
je me souviens de ce jour où j'ai vu un petit chaton abandonné dans le parc. il avait des yeux verts si brillants et une fourrure si douce que j'ai eu envie de le prendre dans mes bras et de l'emmener à la maison. mais j'ai eu peur de le toucher, de le prendre en charge, de le garder pour moi seule. (je m'appelle léa)|je me souviens du jour où je vis ung petit chaton abandonné en le parc. il avoit des yeux verds si brillants et une peliz si douce que je désiray le prendre en mes bras et le mener en ma maison. mais j'eus paour de le toucher, de le prendre en charge, de le garder pour moy seule. (on me nomme léa)
journal du 15 mars 2023 oh, les voyages ! mon dieu, les souvenirs que je garde dans ma vieille tête ! je me revois, jeune marié, partant avec ma femme odette pour l'italie, en 1965. nous avons passé deux semaines à visiter rome, florence, venise... quels moments inoubliables ! les monuments, les églises, les plats délicieux... et odette, ma belle, qui faisait les yeux doux partout où nous allions. je me souviens encore de la façon dont elle riait en mangeant des glaces italiennes dans les rues de rome. ah, c'étaient des temps heureux !|journal du quinzième jour de mars, l'an de grâce deux mil vingt-trois. oh, les voyages ! mon dieu, les souvenirs que je conserve en ma vieille teste ! me revoici, jeune marié, partant avec ma dame odette pour l'italie, en l'an mil neuf cent soixante-cinq. nous passâmes deux sepmaines à visiter rome, florence, venise... quels moments inoubliables ! les monuments, les églises, les plats délicieux... et odette, ma belle, qui faisoit les yeux doux en tous lieux où nous allions. me souviens encore de la manière dont elle rioit en mangeant des glaces italiennes dans les rues de rome. ah, c'étoient des temps heureux !
bonjour ! je m'appelle marcel, et je vais vous raconter une histoire qui m'est arrivée récemment. depuis que j'ai pris ma retraite, j'ai eu des problèmes intestinaux, comme on dit. c'est-à-dire que mon estomac fait des siennes, des douleurs, des ballonnements, des... enfin, vous comprenez. mais voilà, un jour, mon petit-fils m'a mis sur internet, et j'ai découvert que je n'étais pas seul avec mes problèmes ! il y a des tas de gens qui ont les mêmes soucis que moi ! je me suis inscrit sur un forum, et j'ai découvert que je pouvais discuter avec des médecins, des spécialistes, et même des autres personnes qui avaient des problèmes semblables aux miens ! c'est incroyable, tout ce qu'on peut faire avec cette internet ! maintenant, je me sens moins seul, et j'ai même appris à gérer mes problèmes un peu mieux. merci à mon petit-fils, qui m'a initié à tout cela !|bon jou ! je me nomme marcel, et vueil vous raconter une ystoire qui m’est avenu naguères. depuis que j’ay prins ma retraicte, j’ay eu moult maux d’entrailles, comme l’en dit. c’est-à-dire que mon estomac fait des caprices, douleurs, ventre plains de vent, et autres... enfin, vous entendés bien. or advint-il qu’un jour, mon petit-fils m’osta sur l’internet, et j’ay trouvé que je n’estoie mie seul à souffrir de ces inconveniens ! il y a moult gens qui ont les mesmes malaises que moi ! je me suis mis sur un forum, et j’ay découvert que je pouvois deviser avec médecins, clercs et mesmes autres personnes qui avoient malades semblables aux miens ! c’est chose merveilleuse, tout ce qu’on peut faire avec icelui internet ! or, je me sens moins seul, et j’ay mesmes appris à mieulx gouverner mes maux. grâces en soient rendues à mon petit-fils, qui m’a baillé congnoissance de tout cela !
bonjour à tous, c'est moi, émile. je suis tout ému de partager avec vous mes réflexions sur la famille et les voyages. maintenant que je suis à la retraite et que j'ai découvert ce fameux internet, je me retrouve souvent à penser à tout ce que j'ai pu faire de bien, et notamment les voyages que j'ai faits avec ma famille. les souvenirs me reviennent, comme si c'était hier, les rires des enfants, les disputes pour savoir qui allait s'asseoir à la fenêtre du train, les jeux de cartes le soir autour du camping-car... et je me dis, qu'est-ce qui est le plus important, les kilomètres parcourus ou les moments passés ensemble ?|bon jour à touz, c'est moy, émile. je suys tout ému de partager avec vous mes réfléxions sur la famille et les voiages. or que je suys à la retraicte et que j'ay descouvert ceste fameuse internette, je me treuve souvent à penser à tout ce que j'ay peu bien faire, et nommément les voiages que j'ay faiz avec ma famille. les souvenances me reviennent, comme s'il estoit hier, les ris des enfans, les débats pour sçavoir qui s’assiéroit à la fenestre du train, les jeux de cartes le soir entour du campement char... et je me dy, qu'est-ce qui est le plus important, les lieues parcourues ou les moments passés ensemble?
objet: rencontre et météo de merde salut camille, je suis pas sûr de ce que j'ai mangé hier soir, mais je suis prêt à jurer que c'était du poison. je me sens comme si j'avais fait une nuit de garde à l'urgence, sauf que je n'ai même pas eu le temps de faire une sieste. bref, je suis épuisé. et pour couronner le tout, il pleut des cordes dehors. je propose qu'on reporte notre rencontre à une autre fois, comme je suis un étudiant en médecine responsable, je suis prêt à me ressourcer pour toi. à plus, thomas.|objet : assemblée et temps maussade saluz camille, ne suis mie certain de ce que mangeay hier au soir, mais vueil jurer que ce fut poison. me sens comme si j’eusse veillé toute la nuit en une garde d’urgences, fors que mie n’ay eu loisir de faire sieste. bref, suis épuisé. et pour parachever le tout, il pleut à torens dehors. propos que remettions nostre assemblée à une autre fois, car suis estudiant en médecine responsable, suis prêt à me ressourcer pour toi. adieu, thomas.
vendredi 13 mars 2023 oh, les dieux de la silicon valley, pourquoi m'ont-ils infligé ce martyre ? mon ordinateur, ce qui était autrefois un compagnon de travail loyal, s'est transformé en un être diabolique qui me prend pour un parfait imbécile. aujourd'hui, il a décidé de ne pas reconnaître mon mot de passe, et je suis resté là, les mains tremblantes, à taper les caractères qui semblaient avoir été conçus pour les yeux de lynx, pas pour les miens. étienne dupont, professeur de français et martyr de la technologie.|vendreddi xiiie jour de mars, l'an de grâce mmxxiii o, dieux de la vallée de silice, pourquoy m'avez-vous affligé de ce martyre ? mon ordinaire, qui jadis fut compagnon loyal en mes labeurs, s'est mué en être diabolique qui me tient pour parfait fol. en ce jour, il a décidé de ne point reconnaître mon mot de passe, et je suis demeuré là, mains tremblantes, à clercier les caractères qui semblent avoir esté conçus pour yeux de lynx, et non pour les miens. étienne dupont, maistre de français et martyr de la technologie.
"""ah, zut ! je viens de me disputer avec mon binette de collège à propos de nos résultats scolaires ! et dire que nous étions censés être les 'crème de la crème' de notre promo ! maintenant, je vais devoir remettre en question mes méthodes d'étude, tout comme je le ferai avec une sauce béarnaise qui n'a pas réussi à épaissir ! je suis le grand chef étienne dupont, et je refuse de servir des platards à mes parents, encore moins des notes en berne !"""|"""ah, zut ! je vien de me debatre avec mon compain de collège touchant nos resultas escoliers ! et dire que nous estions censés estre la 'crème de la crème' de nostre promotion ! or, je doy remettre en question mes méthodes d'estude, tout ainsy que je feroie avec une saulce béarnaise qui n’a point bien espessi ! je suis le grant chef estienne dupont, et je refuse de servir des platars à mes parens, encor mains des notes en declin !"""
"""hey les amis ! c'est moi, léo ! j'ai une question qui me trotte dans la tête depuis hier : pourquoi est-ce que les appartements sont toujours si petits ?! j'aimerais avoir un château avec un parc d'attractions dans mon salon, mais non, on doit se contenter d'un studio où on peut à peine bouger ! qu'est-ce que vous pensez, les amis ??"""|salut à vous, mes amys ! c'est moy, léo ! j'ay une question qui me trotte en la teste dès hier : pourquoy sont les logis tousjours si petiz ? j'eusse bien voulu avoir ung chastel avec ung parc d'attractions en mon salon, mais nenni, il nous fault contanter d'une estude où l'on peut à peine mouvoir ! que pensez-vous, mes chers amys ?
"oh mon dieu, mon cahier chéri, aujourd'hui j'ai eu la joie de voir mon petit ami félix, le chaton le plus espiègle du quartier. il est venu se réfugier sur mes genoux pendant que je cousais des boutons, et il m'a regardée avec ces yeux de velours comme s'il disait : ""mamie, je suis fatigué de cette vie de chat, prends-moi dans tes bras et oublie-moi pas de donner des biscuits"". mon cœur, comme il sait me toucher !"|"o, mon dieu, mon cher cahier, en ce jour avoye l'alegresse de veoir mon petit amy félix, le chaton le plus espiègle du quartier. il s'en est venu se refugier sur mes genoils pendant que je cousoye des boutons, et me regarda de ces yeux de velours comme s'il disoit : ""mamye, je suis las de ceste vie de chat, prens-moy en tes braz et n'oublie mie de me donner que de biscuits"". mon cœur, comme sçait-il me toucher !"
"""ah, les amis, je vous dis, c'est comme un bon vin qui vieillit, ça s'arrange avec le temps ! moi, étienne dupont, charretier de père en fils, je peux vous dire que le transport, c'est dans mon sang ! et quand je pense à mes copains, les lefebvre, qui ont leur petite épicerie au village, et que je vais les ravitailler chaque vendredi matin, eh bien, c'est une petite fête, je vous assure !"""|« ah, mes amis, je vous di, c'est comme ung bon vin qui vieilt, cela s'amende avec le temps ! moy, estienne dupont, charretier de père en fils, je vous puis dire que le transport, c'est en mon sanc ! et quant je pense à mes compaignons, les lefebvre, qui ont leur petite espicerie au village, et que je les vais ravitailler chascun vendredy matin, et bien, c'est une petite feste, je vous assure ! »
"""hey, c'est lily, et je vais vous dire un truc, j'ai trouvé ma passion, et c'est la musique, genre, je vais mourir si je ne peux pas jouer de la guitare tous les jours, c'est comme si mon cœur battait pour ça, et je sais que je vais faire quelque chose de différent, de réel, de punk, de rock, de tout ce que les adultes détestent, et je m'en fiche, parce que c'est moi, et c'est ma vie, et je vais faire exploser le système avec ma musique, vous allez voir !"""|salut, c'est lily, et je te veuilh dire une chose, j'ay trouvé ma passion, et c'est la musique. par ma foy, je mourrois, se je ne puis jouer de la guiterre chascun jour. c'est comme se mon cœur battoit pour ce faire, et je sçay que je feray quelque chose de différend, de vray, de punk, de rock, de tout ce que les adultes hayent, et je ne m'en chaille point, car c'est moy, et c'est ma vie. je vais esbranler le systéme par ma musique, tu verras !
"""hey les amis ! c'est moi, luna, la vagabonde des routes. je prends un moment pour partager avec vous une réflexion qui m'a frappée lors de mon dernier séjour en asie : l'importance de ne jamais arrêter d'apprendre. les études, c'est comme une carte de route qui nous permet de découvrir de nouvelles destinations, de nous élever et de nous dépasser. alors, quels sont vos objectifs d'apprentissage pour cette année ? #études #apprendre #voyage"""|oyez, amis ! c'est moy, luna, la vagabonde des chemins. je prends ung moment pour partager avec vous une pensée qui m'a frappée lors de mon dernier séjour en asie : l'importance de ne jamais cesser d'apprendre. les études sont telles une carte de route qui nous permet de descouvrir de nouvelles contrées, de nous eslever et de nous surpasser. adoncques, quels sont voz objectifs d'apprentissage pour ceste année ? #estudes #apprendre #voyage
« bonjour, c'est élodie, bibliothécaire. je voulais vous dire à quel point je suis ravie de voir comment la technologie nous permet de nous rapprocher, malgré les distances. c'est vraiment extraordinaire de pouvoir partager des livres, des idées et des passions avec des amis qui partagent nos centres d'intérêt. » (note : j'ai choisi un ton discret mais enthousiaste, en utilisant des phrases courtes et des mots simples, mais avec une certaine élégance et une pointe de culture, pour coller au personnage de la bibliothécaire cultivée. j'ai également inventé le nom d'élodie, qui me semblait convenir à ce personnage.)|« bonjour, c'est élodie, bibliothequaire. je desiroye vous dire combien grandement je suis joyeuse de veoir comment la technology nous fait plus prochains, malgré les longes distances. c'est en verité chose merveilleuse de povoir partager livres, idées et passions avec amis qui ont semblables affections. » (note : j'ay choisi ton discret mais enthousiaste, usant de phrases courtes et de motz simples, mais avec certaine élégance et pointe de culture, pour suyvre le personnage de la bibliothequaire sçavante. j'ay aussi inventé le nom d'élodie, qui me sembloit convenir à ce personnage.)
"yo, c'est kévin, et j'ai une histoire à vous raconter, ça va être dégoûtant, mais c'est la vérité, j'ai eu des problèmes de digestion, genre, je ne pouvais plus aller aux toilettes, c'était comme si mon ventre était en guerre, et j'étais comme ""qu'est-ce que je fais ?"" mais grâce à un régime sain et des yaourts, j'ai pu récupérer, et maintenant, je vais comme un rouleau compresseur !"|"je vous salue, c'est kévin, et j'ay une histoire à vous narrer, ce sera déplaisant, mais c'est la vérité. j'ay eu moult tracas de digestion, en sorte que je ne pourrois plus aller aux latrines, c'étoit comme si mon ventre étoit en guerre, et je me disois ""que fais-je ?"" mais grâce à un régime sain et à des yaourts, j'ay pu recouvrer santé, et maintenant, je vais comme un rouleau compresseur !"
"""putain, la vie de célibataire stressé de 35 ans à paris, c'est vraiment le cirque. je me demande comment je fais pour survivre entre les réunions à 8h du matin, les déjeuners business et les soirées networking qui se prolongent jusqu'à l'aube. et pour couronner le tout, mes potes qui sont censés être là pour me soutenir, mais qui en réalité ne cessent de me demander pourquoi je n'ai pas encore trouvé 'la femme de ma vie' ou pourquoi je ne suis pas encore propriétaire d'un appart dans le marais. comme si j'avais la tête à ça, avec mon emploi du temps dément et mes objectifs de carrière à atteindre. bref, je suis prêt à échanger ma belle vie de cadre parisien contre une vie de ermite dans les montagnes, juste pour avoir un peu de paix et de silence. mais bon, je suppose que c'est comme ça que l'on appelle 'le prix de la réussite'..."" (note : le style d'écriture et le vocabulaire utilisés sont inspirés des personnes travaillant dans des entreprises de services, comme des banques, des cabinets d'avocats, et qui ont une formation supérieure, comme un master ou un mba. le ton est ironique et plaintif, ce qui est caractéristique de ce genre de personnes.)"|"certes, la vie de célibataire sollicité et stressé en la cité de paris, en l'an de grâce trente-cinq, est moultfois semblable à un cirque. je m'interroge comment je fais pour survivre entre les assemblées à huit heures du matin, les dîners de marchandise, et les veillées de réseautage qui se prolongent jusques à l'aube. et pour couronner le tout, mes compagnons, qui devroient à mon soutien être, ne cessent de me questionner pourquoy je n'ay pas encore trouvé ""la dame de ma vie"", ou pourquoy je ne suis point encore seigneur d'un logis en le quartier du marais. comme si j'avoye la cervelle à ce propos, avec mes occupations démentes et mes fins de mestier à parfaire. bref, je suis prest à échanger ma vie de gentilhomme parisien contre celle d'un ermite ès monts, seulement pour avoir quelque paix et silence. mais bon, je suppose que c'est ainsi que l'on nomme ""le prix de la réussite""…"
cher cousin, je vais bien, merci ! papa m'a emmené au parc hier et j'ai vu un cerf ! il était tellement mignon ! j'ai couru derrière lui, mais il a disparu dans les bois. j'ai également appris que nous allons partir en vacances à la mer bientôt ! je suis hyper excité ! j'adore les voyages et découvrir de nouveaux endroits, léo|cher cousin, je me porte bien, merciz ! mon père m'a mené au parc hier et j'ay veu ung cerf ! il estoit tant mignon ! je courus après lui, mais il s'enfouyt és bois. j'ay aussi aprins que nous irons en vacances à la mer bien tôt ! je suis moult esmeu ! j'adore les voyages et descouvrir de nouveaulx lieux. ton cousin, léo
objet : un ciel de rêve, un cœur de feu chère amie, je t'écris de la côte ouest, où le ciel est en feu et les vagues s'élèvent contre les rochers. c'est comme si la nature elle-même me rappelait ce jour de mai où j'ai escaladé le kilimandjaro seul, sous une pluie battante, et où j'ai compris que la seule limite, c'est celle que je me fixais. je me sens encore les larmes chaudes sur mes joues, et le vent qui souffle fort dans mes cheveux, lorsque je repense à ce moment où j'ai compris que je pouvais tout conquérir. à bientôt, luna.|objet : ciel de resve, cueur de feu chère amye, je te escrips de la coste occidentale, où le ciel est de feu et les vagues se levent contre les rochers. c’est comme se la nature elle-mesme me remembrerait ce jour de mai où j’ay monté le mont kilimandjaro seul, soubz une pluye battante, et où j’ay entendu que la seule limite estoit celle que je me mettoye. je me sens encores les larmes chauldes sur mes joues, et le vent qui souffle fort en mes cheveulx, quant je repense à ce moment où j'ay entendu que je povois tout conquérir. a tantost, luna.
"""hey les amis, c'est julien, étudiant en médecine à l'udem. je vous jure, je suis à bout de force. ces dernières semaines, j'ai passé plus de temps à réviser mes cours et à faire des gardes de nuit que à voir mes amis et ma famille. et pourtant, je me sens toujours comme si je n'avais pas fait suffisamment. la fatigue, les crises d'angoisse, les doutes sur mon avenir... c'est dur, mais je vais continuer à bosser dur pour atteindre mes objectifs. #médecine #fatigue #étudiant"""|oy, mes amis, c'est julien, estudiant en médecine à l'université de montréal. je vous jure, je suis à bout de force. ces dernières semaines, j'ay passé plus de temps à réviser mes leçons et à faire des veilles de nuit qu'à veoir mes amis et ma famille. et pourtant, je me sens toujours comme si je n'avoye point fait assez. la fatigue, les crises de l'angoisse, les doutes sur mon avenir... c'est dur, mais je vais continuer à travailler fort pour atteindre mes desseins. #médecine #fatigue #estudiant
"les temps changent, et avec eux, nos habitudes de se déplacer et de vivre. je me souviens, lorsque j'étais jeune, prenant le tramway pour me rendre à la bibliothèque où je travaille maintenant, observant les façades des immeubles anciens, si pittoresques, qui semblaient avoir des histoires à raconter. aujourd'hui, les transports en commun sont devenus si modernes, si efficaces, mais ont-ils gardé cet air de romantisme d'antan ? et les logements, ces petits cocons où l'on se réfugie, ont-ils gardé leur âme ? (note : j'ai choisi le nom de ""mme adèle dumont"" pour cette bibliothécaire discrète mais cultivée)"|"les temps muent, et avec eulx, nos coustumes de nous mouvoir et de vivre. je me souviens, lors que j'estoie jeune, prenant le tram pour m'acheminer à la librairie où je besongne maintenant, regardant les façades des vieilz ediffices, si pittoresques, qui sembloient avoir des histoires à raconter. à présent, les transports en commun sont devenus si modernes, si efficaces, mais ont-ils gardé ceste aura de romantisme d'antan ? et les logis, ces petitz cocons où l'on se retraite, ont-ils gardé leur âme ? (note : j'ay choisi le nom de ""dame adèle dumont"" pour ceste libraire discrète mais sçavante.)"
"les émotions et le transport, ça fait penser à mon ami léon, qui nous sommes connus à l'école des frères. il y a 60 ans, on était deux gamins qui prenaient le tramway pour aller au parc. léon, il était toujours de mauvaise humeur, il disait que le tramway était trop lent, qu'il fallait marcher pour arriver vite. moi, je prenais le tramway pour profiter du paysage, pour voir les maisons, les jardins, les gens qui sortaient de leur porte. un jour, on a pris le tramway pour aller au parc, léon qui était de mauvaise humeur, il s'est mis à pleurer, oui, pleurer, parce que le tramway avait pris un détour et qu'on allait arriver en retard. moi, j'étais en train de rigoler, je disais : ""mais qu'est-ce que ça fait, on est jeunes, on a le temps, on va arriver, on va s'amuser !"" et léon, il me disait : ""tu comprends rien, tu es toujours de bonne humeur, c'est parce que tu n'as pas de problèmes !"" et moi, je répondais : ""c'est peut-être, mais c'est peut-être parce que je prends le tramway pour profiter de la vie, et pas pour se plaindre de la route !"" ah, léon, il est mort il y a 10 ans, mais je me souviens encore de cette anecdote, qui montre que les émotions et le transport, c'est pas la même chose."|"ce texte en vieux français du xve siècle pourrait être traduit ainsi : ""les émovions et le transport, cela me fait penser à mon amy léon, que connoissismes à l'escole des frères. il y a soixante ans, estions deux enfans qui prenoient le tramway pour aler au parc. léon, il estoit tousjours de mauvais aloi, il disoit que le tramway estoit trop lent, qu’il falloit marcher pour tost arriver. moy, je prenoie le tramway pour joïr du païsage, pour veoir les maisons, les jardins, les gens qui sortoient de leur huis. un jour, prismes le tramway pour aler au parc, léon qui estoit de mauvaise humeur, il commença à plourer, oy bien, plourer, car le tramway avoit prins un destour et qu’allions arriver en retard. moy, estoie en train de rire, je disoye : ""mais qu’est-ce que cela fait, sommes jeunes, avons le temps, allons arriver, allons nous esbatre !"" et léon, il me disoit : ""tu n’entens rien, es tousjours de bon aloi, c’est parce que tu n’as point de problèmes !"" et moy, je respondoie : ""c’est peut estre, mais c’est peut estre parce que je pren le tramway pour profiter de la vie, et non pour me complaindre de la voie !"" ah, léon, il mourut il y a dix ans, mais je me souviens encore de cette anecdote, montrant que les émovions et le transport, ce n’est pas une mesme chose."""
bonjour journal, je m'appelle henri et je viens de découvrir ce truc incroyable qu'on appelle le web. j'ai toujours été un homme de peu de mots, mais depuis que j'ai commencé à taper sur ce clavier, j'ai découvert une passion pour partager mes pensées. c'est drôle, car je me suis rendu compte que j'étais capable de ressentir une émotion profonde en écrivant, c'est comme si mes mots prenaient forme et me parlaient en retour. (note : j'ai essayé de reproduire le style d'écriture d'un retraité qui découvre l'internet, avec des phrases courtes et simples, un vocabulaire limité, et une structure de phrase qui peut sembler un peu maladroite. j'espère que cela correspondra à ce que vous attendiez !)|bien le bon jour, journal, je suis nommé henri et vien d'aviser ceste chose merveilleuse que l'on nomme le web. ayant esté tousjours homme de peu de paroles, depuis que je commence à claver sus ce clavier, ay descouvert une passion pour partager mes pensées. c'estoit moult esmerveillant, car m'apperceuz que je resentois une émotion profonde en escripvant, comme se mes mos prenoient forme et me parloient en retour. (note : ay essayé de rendre l'estil d'escripture d'un retraité qui advient à descouvrir l'internet, avec phrases courtes et simples, vocable limité, et une structure de phrases qui peut sembler un peu maladroite. espère que cela correspondra à ce que vous attendiez !)
"cher coach, je me souviens de cette dispute que nous avons eue avant le championnat. tu m'avais dit que je n'étais pas prêt, que je ne m'entrais pas sur mes objectifs. mais je me suis repris en main, j'ai bossé dur et j'ai prouvé que tu avais tort. et pourtant, aujourd'hui, avec tous ces nouveaux gadgets et logiciels de pointe, je me sens déconnecté de cette époque où tout se jouait sur la terre battue. je me sens nostalgique de ces heures de sueur et de douleur qui nous ont menés au sommet. cordialement, luc ""le lion"" dumont"|"chier coache, je me souviens de ceste dispute que nous eumes avant le champ de bataille. tu m’avoies dit que je n’estoie point prest, que je ne m’entrais mie sus mes fins. mais je me suis repris en main, j’ay besongné durement et j’ay prouvé que tu avoies tort. et pourtant, auiourd’huy, avec tous ces nouveaux engins et logices de pointe, je me sens desconecté de ceste époque où tout se jouoit sur la terre batue. je me sens nostalgique de ces heures de sueur et de douleur qui nous ont menés au sommet. cordialement, luc ""le lyon"" dumont"
objet: les émotions de la fête cher ami, je me souviens encore comme si c'était hier, la fête de la moisson à laquelle nous avons participé ensemble. les rires, les larmes, les cris de joie, tout cela me revient à l'esprit comme un parfum de fleurs sauvages qui embaume l'air. je me sens fier de mon métier, fier de cultiver la terre qui nous nourrit, et de voir les fruits de notre travail se transformer en moments de bonheur partagés. cordialement, gaspard dupont, artisan rural de la belle province de québec.|objet : les emotions de la feste chier amy, je me souviens encore comme si c'eust esté hier, la feste de la moisson à laquelle nous feusmes partisans ensemble. les ris, les larmes, les cris de joye, tout ce me revient à l'ysme comme ung parfum de fleurs sauvages qui embasmé l'air. me sens fier de mon mestier, fier de cultiver la terre qui nous nourrit, et de veoir les fruiz de nostre labeur se transmuer en momens de bonheur partagés. bien cordialement, gaspard dupont, artisant rural de la belle province de québec.
les passions, ces feux qui nous consument, n'est-ce pas, mademoiselle ? moi, adèle dupont, bibliothécaire de province, j'ai toujours été éprise de la littérature de voyage, particulièrement les récits d'explorateurs du xixe siècle. et pourtant, ironie du sort, je suis confinée derrière un comptoir, à cataloguer des ouvrages que je ne pourrai jamais vraiment explorer.|les passions, ces feux qui nous consument, n'est-ce mieulx, damoiselle ? moy, adèle dupont, garde des livres en province, ay tousjours esté éprise de la littérature de voyage, et plus particulièrement des récits des explorateurs du xixe siècle. et pourtant, ironie du sort, je suis confinée derriere un comptoir, à cataloguer des volumes que je ne pourroye jamais vraiment explorer.
les études, ce sacerdoce silencieux qui nous habite, nous bibliothécaires, comme un parfum subtil. je me souviens de mes années d'université, où je m'enfonçais dans les livres de philosophie et de lettres classiques, comme si je cherchais à me perdre dans les méandres de la pensée. et pourtant, c'est là, au cœur de ces études, que j'ai trouvé ma vocation, cette passion discrète pour le savoir qui m'a conduite à devenir la bibliothécaire que je suis aujourd'hui.|les estudes, ce sacerdoce silencieux qui nous habite, nous libraires, comme ung parfaim subtil. je me souvienne de mes années d'université, où je m'enfonçois es livres de philosophie et de lettres antiques, comme si je cherchois à me perdre ès méandres de la pensée. et pourtant, c'est là, au cœur de ces estudes, que je trouvay ma vocation, cette passion discrète pour le savoir qui me mena à devenir la libraire que je suis aujourd'hui.
salut à toi ! c'est julien et je suis hyper excité parce que demain, j'ai un match de foot avec mon équipe ! j'ai passé des heures à s'entraîner avec mon pote léo et on est sûr qu'on va gagner ! on va écraser les autres, c'est sûr ! à plus ! julien|salut à toy ! c'est julien et je suys moult esmeu pour ce que demain ay ung jeu de pied avec mon compaignie ! j'ay passé moult heures à m'esprover avec mon compaignon léo et nous sommes certains que nous allons vaincre ! nous foulerons les aultres, c'est certain ! adieu ! julien
"""urgences, stage, révisions, je dors quand ?! mais il y a une chose qui me donne le sourire même après une nuit blanche, c'est le foot ! je suis complètement accro à ce sport, c'est ma thérapie, mon évasion. quand je vois les joueurs se donner à fond sur le terrain, je me dis qu'il y a encore des gens qui ont plus de énergie que moi #fatigué #médecine #passion"" (je me suis inspiré du style d'écriture des étudiants en médecine, en utilisant des expressions informelles et un ton très personnel. le nom n'a pas été nécessaire dans ce contexte.)"|urgences, estage, révisions, quant dormis-je ?! mais y a une chose qui me fait le sourire mesmes après une nuyt blanche, c’est le jeu de paulme ! je suis tout entiché de ce jeu, c’est ma thérapeutique, mon eschappement. quant je voy les joueurs se donner à plain sur le champ, je me dis qu'il y a encor gens qui ont plus de force que moy. #las #médecine #passion
"""hey les aventurières ! je viens de vivre une expérience incroyable à bali, où j'ai découvert ma nouvelle passion : le surf ! j'ai passé des heures à rider les waves et à me faire bronzer sur la plage. et pour couronner le tout, j'ai participé à une fête de plage incroyable, avec des djs, des feux d'artifice et des cocktails à volonté ! mon cœur est encore en émoi ! #surf #bali #fête #aventurière"""|oyez, oyez, mesdames aventurières ! je vyens de vivre une expérience moult incroyable en la contrée de bali, où j'ay descouvert ma nouvelle passion : le surfre ! j'ay passé maintes heures à chevaucher les vagues et à moy enluminer sous le soleil sur la plage. et pour couronner le tout, je participay à une feste de plage fort merveilleuse, aevc des menestrels, des feux d'artifice et moult de breuvages à foison ! mon cœur est encore en émoi ! #surfre #bali #feste #aventurière
"les souvenirs que je garde dans mon cœur, comme des reliques précieuses, sont ceux de mon cher félix, le chaton aux yeux verts qui m'a accompagné pendant plus de dix ans. je me souviens encore de ses jeux espiègles, de ses câlins matinaux, de ses ronrons apaisants qui berçaient mon âme fatiguée après des journées de cours éprouvantes. (note : j'ai inventé le nom ""félix"" pour le chat, et j'ai essayé de restituer le vocabulaire et le style d'un prof de français passionné. j'espère que cela correspondra à vos attentes !)"|"les souvenances que je garde en mon cueur, comme reliques précieuses, sont celles de mon cher félix, le chaton aux yeux vers qui m'accompagna par plus de dix ans. me souvient encor de ses jeux espiègles, de ses accolemens matinaux, de ses ronrons apaisans qui berçoient mon âme travaillée après journées de leçons pénibles. (note : j'ai forgé le nom ""félix"" pour le chat, et j'ai tenté de rendre le vocabulaire et le style d'un maître de français passionné. espère que ce fera vostre contentement !)"
salut, c'est ludo. il y a quelque chose qui m'a fait réfléchir, c'est la météo. quand il fait du soleil, tout paraît plus facile, les gens sont plus souriants, on se sent plus vivant. mais quand il pleut, c'est comme si tout s'écroulait, on se sent prisonnier, et les problèmes qui étaient cachés derrière le soleil réapparaissent. c'est comme si la météo me montrait que la vie est une succession de hauts et de bas, et qu'il faut apprendre à traverser les orages pour trouver le soleil à nouveau.|saluz, c'est ludo. il y a quelque chose qui m'a fait réfléchir, c'est la moiteor. quant il fait du soleil, tout paroist plus aisé, les gens sont plus sourians, on se sent plus vif. mais quant il pleut, c'est comme si tout s'escrouloit, on se sent prisonnier, et les problèmes qui estoient cachés derrière le soleil reparaissent. c'est comme si la moiteor me monstroit que la vie est une succession de haults et de bas, et qu'il faut aprendre à traverser les orages pour trouver le soleil à nouveau.
