mot,lemme
andemain,endemain
aprés,après
messe,messe
peres,père
adober,adober
malvés,mauvais
ou,en1.le
ber,baron
autre,autre
suen,sien
buen,bon
ai,avoir1
requis,requérir
donez,donner
veir,voir2
gris,gris1
boens,bon
chevax,cheval
dras,drap
einçois,ainçois
Voldrai,voloir
servir,servir
ancor,encore
vertu,vertu
poïsse,pöoir
porter,porter1
Nus,nous
porroit,pouvoir2
retorner,retorner
proiere,prière
losange,losenge2
terre,terre1
estrange,étrange
Veoir,vëoir
cui,qui1
renons,renom
corteisie,cortoisie
proesce,prouesse
Maint,maint
haut,haut
home,homme
lor,leur2
peresce,perece
Perdent,perdre
porroient,pouvoir2
cheminoient,cheminer
acordent,acorder
ansanble,ensemble
Repos,repos
sanble,sembler
nule,nul
alose,aloser
Riches,riche
hom,homme
repose,reposer
Ensi,ainsi
sont,être1
contraire,contraire1
divers,divers
cil,cil
sers,serf
amasse,amer1
acroist,accroître
loist,loisir2
Los,le
vail,valoir
I,un
metre,mettre
poinne,peine
travail,travail1
ceste,cist
chose,chose
dotance,doutance
joie,joie
pesance,pesance
Joie,joie
part,part1
depart,départir
fait,faire
Quelque,quel1
ait,avoir1
covient,convenir
boen,bon
consantir,consentir
ampereres,emperëor
doit,devoir2
mantir,mentir
lessier,laissier
doi,deux
tandre,tendre2
voi,voir1
tresors,trésor
poez,pouvoir2
seisir,saisir
plainnes,plein
deus,dieu
barges,barge1
soiez,estre1
larges,large
heitiez,haitier
cortois,courtois
afeitiez,afaitier
promet,promettre
bandon,bandon
met,mettre
enore,onorer
comande,comander
largemant,largement
despande,despendre2
reison,raison
coi,quoi
croi,croire
Largesce,largece
dame,dame1
reïne,reine
totes,tout2
vertuz,vertu
anlumine,enluminer
mie,mie3
grief,grief2
prover,prouver
puet,pouvoir2
torner,torner
puissanz,puissant
riches,riche
honiz,honir
chiches,chiche1
grace,grâce
largesce,largece
loer,louer1
soi,son4
prodome,prudhomme
hautesce,hautece
gentillesce,gentillece
force,force
seignorie,seignorie
biautez,biauté
ausi,aussi
come,comme
rose,rose
Est,être1
flors,fleur1
bele,beau
neist,naistre
fresche,frais2
novele,nouvelle
Einsi,ainsi
avient,advenir
Desor,desor
tient,tenir
bontez,bonté
trueve,trover
prueve,prover
Fet,faire
.v.,cinq
.c.,cent
dobles,doble
monter,monter
diroie,dire
mitié,moitié
Bien,bien
esploitié,esploitier
quanqu',quanque
quis,qui1.le
rové,rover
trové,trouver
Tot,tout2
creante,créanter
fut,être1
dolante,dolent
voie,voie
oï,ouïr
Ou,où
devoit,devoir2
aler,aller
duel,deuil
tort,tort1
enfance,enfance
blasme,blâme
lot,louer1
au,à.le
tost,tôt
pot,pouvoir2
Comande,comander
nes,ne1.le
aprester,apprêter
arester,arrêter
longuemant,longement2
comandemant,comandement
Furent,être1
chargiees,chargier
cele,cil
nuit,nuit
vin,vin1
char,chair
bescuit,
port,port1
deport,déport
Vint,venir
sablon,sablon1
avuec,avec
conpaignon,compagnon
lié,lié
estoient,être1
convoie,convoiier
poise,peser1
truevent,trover
lez,lez
faloise,falise
mariniers,marinier
dedanz,dedenz
mers,mer
peisible,paisible
soés,söef
vanz,vent
dolz,douz
airs,air
serains,serein
premerains,premerain
partiz,partir
cuer,cœur
dolant,dolent
vantre,ventre1
nef,nef1
batel,batel2
antre,entrer
Ansanble,ensemble
quatre,quatre
troi,trois
dui,deux
Tancent,tencier
antrer,entrer
atandue,atendue
Tantost,tantost
voile,voile1
tandue,tendre1
barge,barge1
desaencree,desäancrer
agree,agreer
voient,voir1
pueent,pöoir
convoient,convoiier
veüe,voir1
ialz,ueil
puissent,pöoir
esgarder,esgarder
vont,aller
tuit,tous
Lez,lez
marine,marine
pui,puis
iluec,illuec
esgardent,égarder
enui,enui
veoir,vëoir
Lor,lors
ami,ami
voir,voir2
enuie,envie
droit,droit1
conduie,conduire
Sanz,saint
anconbrier,encombrier
peril,peril
mer,mer
furent,être1
avril,avril
une,un
partie,partie
mai,mai
esmai,esmai
Vindrent,venir
desoz,dessous
Hantone,Hantone
vespres,vêpre
none,nonne
Gietent,jeter
encre,ancre
orent,avoir1
sofrir,sofrir
meseise,mesaise
painne,peine
sainne,saner
Orent,avoir1
demoré,demorer
descoloré,descolorer
afebli,afeblir
vain,vain
Tuit,tous
fort,fort
sain,saint
neporquant,nonpourquant
font,faire
eschapé,échapper
venu,venir
voloient,vouloir
formant,forment2
doloient,doloir
Desoz,desoz
remainnent,remanoir
demainnent,demener
anquerre,enquerre
Eingleterre,Engleterre
dist,dire1
Guincestre,Guincestre
porront,pöoir
vuelent,vouloir
lever,lever
matin,matin
tienent,tenir
chemin,chemin
esvoillent,esveillier
atornent,atorner
aparoillent,apareillier1
quant,quant
atorné,atorner
torné,tourner
tenu,tenir
sejor,sejor
Einçois,ainçois
fust,être1
prime,prime1
cort,cour
Gré,gré2
pié,pied
descendent,descendre
degré,degré
escuier,escuier2
cheval,cheval
Remestrent,remanoir
aval,aval
montent,monter
amont,amont
Devant,devant
meillor,meilleur
onques,onques
voit,voir1
pleisent,plaire
abelissent,abelir
devant,devant
venissent,venir
Ostent,oster2
mantiax,mantel
cos,col
tenist,tenir
fos,être1
trestuit,trèstous
desafublé,desafubler
alé,aller
baron,baron
esgardoient,esgarder
genz,gens
pleisoient,plaire
cuident,cuidier1
soient,être1
aage,âge
Gent,gent1
lonc,long
corssage,corsage
robes,robe
vestoient,vestir
drap,drap
taille,taille
sanblant,semblant1
color,couleur1
Doze,doze
seignor,seigneur
Dont,dont
dirai,dire1
miaudres,meillor
nus,nous
Mains,main2
orguel,orgueil
desroi,desroi
Desfublez,desfubler
tailliez,taillier1
agenoilliez,agenoillier
amor,amour1
agenoillent,agenoillier
salue,salüer
leingue,langue1
esmolue,esmoudre
sagemant,sagement
Rois,roi2
mant,mentir
Renomee,renomee
renome,renomer
Des,de.le
nasqui,naistre
puissance,poissance
creance,créance1
M',mon1
amené,amener
enorer,onorer
demorer,demeurer
noviax,novel
servises,service
nel,ne1.le
sui,être1
serai,être1
clamez,clamer
amez,aimer
vuilliez,voloir
faire,faire
Retenez,retenir
debonaire,debonaire
ci,ci1
maintenant,maintenant
respont,répondre
Amis,ami
refus,refuser
veignant,venir
sanblez,sembler
cuit,cuider
hauz,haut
homes,homme
estes,être1
somes,être1
Voire,voir
tes,ton2
foi,foi1
sire,sire
amis,ami
nons,nom
mis,mettre
ge,gens
reçui,recevoir
sel,sceau
cresme,chrême
crestianté,crestïenté
baptesme,baptême
chiers,cher
retieng,retenir
volantiers,volentiers
plest,plaire
heite,haitier
venuz,venir
ma,mon1
enort,onorer
Com,come1
franc,franc2
sage,sage1
Trop,trop
esté,être1
genolz,genou1
Relevez,relever
sus,sus
ore,or2
avant,avant
privez,privé
arivez,ariver1
Atant,atant
lievent,lever
Lié,lié1
Deboneiremant,debonairement
retenuz,retenir
vuelle,voloir
faut,falir
apialt,apeler
acuelle,acoillir
orguelle,orgoillier
nobles,noble1
monseignor,seignor
Gauvain,Gauvain
acointe,acointier
amer,no_lem
chascun,chacun
Nes,ne1.le
messire,seignor
Gauvains,Gauvain
aimme,amer1
claimme,clamer
vile,ville
chiés,chef
borjois,bourgeois
ostel,hôtel1
porent,pouvoir2
aporté,aporter
comandé,comander
conseillié,conseillier1
esveillié,esveillier
despandre,despendre2
Voldra,voloir
antendre,entendre
Bele,beau
mainne,mener
done,donner
despant,despendre2
com,comme
apant,apendre
cuers,cœur
consoille,conseillier1
Trestote,trestot
mervoille,merveille
amenez,amener
penez,pener
prise,prise1
cel,cil
termine,termine
vost,voloir
passer,passer1
Toz,tous
amasser,amasser
consoil,conseil
porra,pöoir
comander,comander
reveingne,revenir
pes,pais
gart,garder
mainteingne,maintenir
Fu,estre1
comandee,comander
Angrés,Angres
Guinesores,Guinesores
cuidoient,cuidier1
ancores,encore
mut,movoir
dameiseles,damoisele
oent,oïr
noveles,nouvelle
vient,venir
Breton,Breton
passa,passer1
Vaslet,vaslet
pucele,pucelle
antra,entrer
Fors,fors
seulemant,solement2
voiremant,voirement
amena,amener
Soredamors,Soredamors
desdaigneuse,desdeignos
Onques,onque
ome,ome
deignast,deignier
biauté,biauté
dameisele,damoisele
Estoit,estre1
avenanz,avenant2
deüst,devoir2
antandre,entendre
volt,vouloir
antante,entente
fera,faire
Amors,amor
vangier,vengier
dangier,dangier
mené,mener
assenee,assener
dart,dart
ferue,férir1
Sovant,sovent
palist,pâlir
sovant,sovent
tressue,tressüer
mau,mal1
gré,gré1
estuet,estovoir
vers,vers2
esgart,esgart
frere,frère
Chieremant,chierement
achate,acheter
conpere,comparer2
Son,son4
desdaing,desdeing
chaufé,chaufer
baing,bain
eschaufe,eschaufer
nuist,nuire
Ses,son4
traïson,trahison
encuse,encuser
Oel,ueil
traïe,träir
anhaïe,enhäir
soloit,souloir
grieve,grever
Grieve,grever
Nel,ne1.le
ençois,ainçois
siet,être1
griet,grever
baillie,baillie1
seroit,savoir1
faillie,falir
devroie,devoir
prisier,prisier
pooie,pouvoir2
justisier,justicier2
porrai,pouvoir2
garder,garder
Amor,amour1
dialt,doloir
prie,prier
requiert,requérir
Amerai,amer1
reclaimme,reclamer
mi,mi1
oel,ueil
traient,traire
reclaim,reclaim
Dirai,dire
aim,aimer
Nenil,nenni
car,char
mançonge,mençogne
chalonge,chalonge
clamer,clamer
donc,donc
forfet,forfait
voel,vouloir
Quex,quel1
corpes,coupe
Doi,devoir
blasmer,blâmer
Cui,qui1
Moi,moi
garde,garde2
Mi,mon1
esgarde,esgarder
atalante,atalenter
Chose,chose
feïst,faire
Sa,son4
volentez,volonté
doloir,doloir
Doloir,doloir
fole,fou1
afole,afoler1
Volantez,volenté
vaigne,venir
enuis,enui
oster,ôter
puis,puis
Fole,fol3
Donc,donc
porroie,pöoir
petit,petit
avoie,avoir1
Cuide,cuidier1
sialt,soloir
desveier,desvoiier1
Autrui,autrui
aveier,avoiier
fui,fuir
amerai,aimer
acointance,acointance
meïsmes,même
tance,tencier
Une,un
het,haïr
dote,doute
set,savoir1
vaille,valoir
Vers,vers2
desfandre,defendre
mestier,métier
desfanse,defense
c',que
panse,penser
igaumant,igaument
Tel,tel
livreison,livroison
uns,un
covoite,covoitier
leax,lëal
droite,droit2
seüst,savoir1
Quel,quel
volanté,volenté
chascuns,chacun
prant,prendre
Descolorer,descolorer
anpalir,empalir
avenir,advenir
Espoir,espoir2
aparceüst,apercevoir
deceüst,decevoir
angingne,engignier1
deçoit,decevoir
max,mal1
ques,quel
ces,cest
trois,trouver
fors,fors
tierz,tiers
ancusent,encuser
escusent,escuser2
antechié,entechier
pechié,péché
ancorpe,encouper1
mal,mal2
tret,traire
seüe,savoir1
firent,faire
servirent,servir
Come,come1
droiturier,droiturier1
quier,quérir
foiz,foi1
orroiz,öir
dire,dire1
amanz,aimer
travaille,travaillier
bataille,bataille
desirre,desirrer
Celi,cel
sopire,sospirer
savra,savoir
maint,maint
avra,avoir1
soffert,sofrir
sert,servir
puceles,pucele
chanbre,chambre1
celi,cel
remanbre,remembrer
ose,oser
aparler,aparler
aresnier,araisnier
osast,oser
desresnier,deraisnier
Volantiers,volentiers
torne,tourner
alume,allumer
costume,coutume
peissent,paistre
dont,dont
nest,naître
aidier,no_lem
doie,devoir2
cuist,cuire
feu,feu1
aproche,aprochier
acoste,acoster
arrieres,ariere
oste,hôte
Adés,adès
croist,croistre
monte,monter
honte,honte
cuevre,covrir
çoile,celer1
pert,paroir1
flame,flame
funs,fun
charbon,charbon
soz,soz
cendre,cendre
chalors,chaleur
mandre,petit
dure,durer1
desus,dessus
andui,ambedeux
engoisse,angoisse
conoisse,conoistre
conplainte,complainte
aparçoive,apercevoir
Estuet,estovoir1
deçoive,decevoir
faus,fou1
plainte,plainte
primes,prime1
plaint,plaindre
demante,dementer
represante,representer
sant,saint
grevé,grever
eslevé,eslever
lesse,laissier
lit,lit
reposer,reposer
delite,delitier
remanbrer,remembrer
contenance,contenance
point,point2
esperance,espérance
biens,bien
venir,venir
fol,fou1
Voiremant,voirement
pans,pan3
torneroit,torner
pis,pis2
folie,folie1
panser,penser
feïsse,faire
apeler,appeler
seü,sëu
celerai,celer1
savrai,savoir1
dolors,douleur
Aïde,äie
secors,secors
Fos,fol3
anfermeté,enfermeté1
quiert,quérir
aïde,äie
santé,santé
trover,trouver
leu,lieu1
tex,tel
preu,preu
porquerre,porquerre
porchace,porchacier
dom,dont
iroit,aller
rover,rover
Il,il
traveilleroit,travaillier
mien,mien
grevain,grevain
garison,garison
mecine,mécine
poison,poison
herbe,herbe
racine,racine
miens,mien
anracinez,enraciner
mecinez,meciner
j',je
manti,mentir
cest,cist
santi,sentir
osasse,oser
mostrer,mostrer
Poïsse,pöoir
mire,mire1
eidier,aidier
empleidier,emplaidier
daigneroit,deignier
loier,lier
voldroit,voloir
sai,savoir1
faz,faux1
Jel,je.le
Cest,cist
Set,sept
cuidoie,cuidier1
felon,félon
esprové,esprover
jeus,jeu
antremet,entremetre
devers,devers
grever,grever
suens,sien
geus,jeu
buens,bon
Malvés,mauvais
joer,jöer
Retrerai,retraire
feroie,faire
san,sen2
chastie,chastiier
menace,menacier
anseignier,enseignier
mestre,maître1
desdaignier,desdeignier
desdaingne,desdeignier
aprant,aprendre
ansaingne,enseignier
Granz,grand
trop,trop
bat,batre
ice,ce1
esmaie,esmaiier
cop,coup
plaie,plaie
plaing,plaindre
navré,navrer
jusqu',jusque
trait,traire
retrait,retraire
t',te
cors,corps
defors,defors
diras,dire
uel,ueil
crevé,crever
di,dire1
darz,dard1
parmi,parmi
passez,passer1
bleciez,blecier
quassez,casser
requialt,recoillir
randre,rendre
soing,soin
fuer,fuer2
mereors,mirëor
mireor,mirëor
trespasse,trépasser
blesce,blecier
quasse,casser
sans,sans
espris,éprendre
Ausi,aussi
chandoile,chandoile
esprise,éprendre
lenterne,lanterne
mise,mettre
departez,departir
istra,issir
clartez,clarté
lanterne,lanterne
oscure,oscur
luist,luire1
anpire,empirier
Autresi,autresi
verrine,verrine
forz,fort
anterine,enterin
rais,rai1
soloil,soleil
past,passer1
quast,casser
voirres,voirre
clers,clerc
fiert,férir1
soe,son4
sachiez,savoir
voirre,voirre
es,en1.le
luiserne,luiserne
remire,remirer
uevre,uevre
maintes,maint
oevres,uevre
diverses,divers
unes,un
verz,vert
perses,pers
vermoille,vermeil1
bloe,blo
loe,louer1
vil,vil
chiere,cher
tiex,tel
mostre,mostrer
traïst,trahir
deceü,decevoir
veü,voir1
rai,rai1
anconbrez,encombrer
anombrez,enombrer
failliz,falir
malbailliz,maubaillir
anemi,ennemi
oblie,obliger
Reter,reter1
felonie,félonie
mespris,mesprisier
Mon,mon1
heent,häir
Ha,ha
cist,cist
.iii.,trois
ocïent,ocire
sergent,sergent1
fïent,fïer
moie,mien
verité,vérité
cez,cist
deserité,déshériter
perist,perir
norrist,nourrir
aconpaigne,acompagnier
faillir,faillir
plaigne,plaine
Quanqu',cantque
aveigne,avenir
tart,tard
reparlerai,reparler
comandez,comander
bailliez,baillier
dot,doter2
faille,faille1
fail,falir
metrai,mettre
floiche,fleche
penon,
Sont,estre1
pres,preindre
ravise,raviser
devise,deviser
greve,greve1
estroite,étroit1
polie,polir
rote,rote4
amander,amender
coloré,colorer
Con,come1
doré,dorer
doreüre,dorëure
savez,savoir1
Estoient,estre1
luisant,luire1
treces,trece
sores,sor1
vi,voir1
C',ce1
tres,trois
precieus,precïos
tel,tel
tresor,tresor
avroit,avoir
anvie,envie
Androit,endroit
jurer,jurer
desirreroie,desirrer
seul,seul
penons,penon
donroie,donner
Antioiche,Antioche
choses,chose
esligier,esligier
vaut,vouloir
remenanz,remanant
desirranz,desirrer
anvieus,envïos
Sui,estre1
remirer,remirer
front,front
cler,clair1
glace,glace
esmeraude,esmeraude
topace,topace
clarté,clarté
Sanblent,sembler
chandoiles,chandoile
ardent,ardre
boche,bouche1
delivre,délivrer1
poïst,pöoir
descrivre,descrire
lis,le
esface,esfacier
anluminer,enluminer
bochete,bochete
riant,rire1
tele,tel
esciant,escïent
veïst,voir1
cuidast,cuidier1
reïst,rire
dant,dent2
toche,tochier
antretaingnent,entretenir
avaingnent,avenir
Nature,nature
verroit,voir1
oevre,uevre
diroit,dire1
fussent,être1
ivoire,ivoire
chascune,chacun
portraire,portraire
manton,menton
oroilles,oreille
mervoilles,merveille
aucune,aucun
trespas,trépas
cristax,cristal
trobles,torble1
blans,blanc
Plus,plus
clere,clair1
trece,trece
chevece,chevece
Jusqu',jusque
fermail,fermail
antroverture,entr'overture
Vi,vëoir
piz,pis1
nu,nous
coverture,coverture
blanc,blanc
nois,noix
negiee,neiger
alegiee,alegier1
eüsse,avoir
seüsse,savoir
Deïsse,dire
poiche,pechier
façon,façon
mostra,mostrer
adons,adonc
coche,coche1
fleche,fleche
ert,être1
coivre,cuivre1
bliauz,blïaut
chemise,chemise
vestue,vêtir
tue,tien
vilainnemant,vilainement
irais,iraistre
vilains,vilain
corroz,corroz
festuz,festu
sera,être1
roz,rompre
desfiance,desfïance
guerre,guerre
lest,laissier
Mialz,mieus
ainsi,ainsi
teingne,tenir1
nelui,nul
santez,santé
veingne,venir
anfertez,enfermeté1
rest,rere
demainne,demener
grand,grand
dort,dormir
anclose,enclore
tançons,tençon
rage,rage
troble,torbler
angoisse,angoisse
destraint,destreindre
plore,plorer
degiete,dejeter
tressaut,tressalir
traveillié,travaillier
sangloti,sanglotir
baaillié,bäaillier
tressailli,tressalir
sopiré,sospirer
Lors,lors
remiré,remirer
destraignoit,destreindre
refaite,refaire1
pansser,penser
quanque,quanque
anhaite,enhaitier
restant,restendre
retorne,retourner
atorne,atorner
recomance,recomencier
plet,plait
deboneire,debonaire
proz,preux
chaut,chaloir
avoec,avec
aut,aler
tolir,tolir
Tolir,tolir
Non,non
Salemon,Salemon
peüst,pouvoir2
humain,humain
pooir,pouvoir1
depecier,depecier
querroie,querre
correcier,corrocier
savoie,savoir
hé,häir
itant,tant
amie,ami
altre,autre
esgaree,esgarer
panssai,penser
vivant,vivre1
verroie,voir1
partir,partir
abelist,abelir
Oïl,oui
remanbrasse,remembrer
desplaise,
volantez,volenté
malveise,mauvais
esbahie,
desfansse,defense
assaut,assalir
gardee,garder
Einz,ains
bonté,bonté
donté,donter
aprandra,aprendre
quoi,quoi
Confeitemant,comfaitement
aprise,aprendre
reprandre,reprendre1
fusse,être
acointable,acointable
amiable,amiable
Bel,beau
anseigne,enseignier
veraie,verai
neant,nïent
clamee,clamer
Amer,amer1
amee,aimer
Aucune,aucun
senefie,senefiier
premiere,premier1
tieng,tenir
ors,or1
acorde,accorde
recorde,recorder
apele,appeler
renovele,renoveler
mitiez,moitié
dore,dorer
sore,sore
autant,autant
sororee,sororer
Doreüre,dorëure
fine,finer
enoree,onorer
cure,cure
clamerai,clamer
Voir,voir
demande,demander
Cestui,cest
pri,pri
desirrier,desirrier2
requerre,requérir
proier,prier
Proierai,priier
donques,donc
avint,advenir
fame,feme
requeïst,requerre
desvee,desver
seroie,estre1
provee,prover
disoie,dire1
reproche,reproche
savroit,savoir
reprocheroit,reprochier1
proié,priier
vilainne,vilain
cestui,cist
premerainne,premerain
devroit,devoir
cert,cert
Ancor,encore
gaires,gaire
demanter,démenter
doive,devoir
J',je
atandrai,atendre
aparcevoir,apercevoir
antremist,entremetre
aprist,apprendre
Aprist,aprendre
oiseuse,oisose
gracieuse,gracïos
usages,usage
poi,peu
escole,école
mainte,maint
losangiee,losengier2
estrangiee,estrangier2
Sel,si3.le
chier,cher
conparer,comparer2
bués,boeuf
arer,arer
despoir,desperer
ama,aimer
espoir,espoir2
amé,aimer
semé,semer1
semance,semence
Neant,nïent
moz,mot
coverz,covrir
cerz,cert
dolor,douleur
tans,temps
fin,fin1
entree,entrée
oitovre,uitovre
messages,message1
Dovre,Douvres
Londres,Londres
Quantorbire,Cantorbire
troblent,torbler
conté,conter
message,message1
ester,no_lem
voldra,voloir
contrester,contrester
ost,ost
mandee,mander
cité,cité
contretenir,contretenir
Trestoz,trestot
Iriez,irier
plains,plain
mautalant,mautalent
facent,faire
talant,talent
confondre,confondre
traïtor,träitor
blasmes,blasme
tribol,tribol
aus,à.le
bailla,baillier
pires,pire1
Guenelon,Ganelon
otroit,otroiier
conseillierent,
essil,essil
sache,sachier2
chastel,château
garantir,garantir
traie,traire
aseürent,assëurer
afïent,afïer
jurent,gésir
randront,rendre
tandront,tenir1
crier,crier
remaingne,remanoir
puisse,pouvoir2
esmeüe,émouvoir
oz,ost
assanbla,assembler
esmovoir,esmovoir
sanbla,sembler
trestoz,trèstous
mondes,monde1
paroient,paroir
ondes,onde
covertes,covrir
certes,certes
noise,noise1
voise,aller
passees,passer1
amassees,amasser
logent,logier
rivage,rivage1
aquerre,aquerre
aquerra,aquerre
anpansé,empenser
tref,tref2
estut,estovoir
vit,voir1
Seignor,seigneur
celez,celer1
besoinz,besoing
ça,çà
parla,parler
Venuz,venir
façoiz,faire
respiz,respit
.xiii.,treize
hernois,harnois
Chascuns,chacun
baille,baille3
Beles,bel1
.xii.,doze
Armes,arme
valut,valoir
igal,igal
volsist,vouloir
vandre,vendre
Droit,droit
desvestirent,desvestir
laverent,laver
baingnierent,baignier
vostrent,voloir
daignierent,deignier
chaufast,chaufer
eve,aigue
estuve,estuve
cuve,cuve
Feire,faire
escrins,escring
cerche,cerchier
vuide,vuit
treite,traire
blanche,blanc
deliee,deliié
soutil,sotil
Es,en1.le
costures,costure
queudre,cosdre
mises,mettre
antrecosu,entrecosdre
chevol,chevel
manches,manche2
col,cou
esprover,esprover
devisast,deviser
cleremant,clerement
avisast,aviser
chevox,chevel
sors,sor1
tramise,tramettre
anvoie,envoiier
reüst,ravoir2
reconforter,reconforter
amast,amer1
remenant,remanant
celui,cil
sot,savoir1
enuiz,enui
sevent,savoir1
levent,lever
presantee,presenter
Celui,celui
soreplus,sorplus
assez,assez
eschange,échange
preïst,prendre
meïst,metre2
demore,demore
veste,vestir
icele,cil
vestuz,vêtir
atornez,atorner
alez,aller
seoir,seoir
voloit,vouloir
adroit,adroit
Chevalier,chevalier
parlerai,parler
contre,contre3
ra,ravoir2
